,question,context,answer,id
0,What is the effect of drinking water from the sacred spring located in the ancient Elderwood forest.?,"[""The 'Font of Resonance' is the sacred spring located deep within the ancient Elderwood forest."", 'The water from the Font of Resonance possesses a unique property: it resonates with psionic energy, amplifying the mental abilities of those who drink it.', 'The Elderwood forest is home to many ancient trees.', 'The spring is visited by pilgrims seeking enlightenment.', 'Psionic energy is the energy of thought and consciousness.', 'Drinking from the font is part of a traditional ritual.', 'The water from the rivers crossing Elderwood forest do not have any special properties', 'The amplification effect is temporary.', 'The Font of Resonance is guarded by silent protectors.', 'Ancient carvings surround the spring.']",It amplifies the mental abilities of those who drink it.,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J']"
1,What kind of energy does the 'Stellar Converter' on the planet Xylos produce?,"[""The 'Stellar Converter' is a massive energy generation facility located on the planet Xylos."", ""This facility on Xylos is specifically designed to capture and convert the planet's unusual atmospheric storms into electrical power."", 'Xylos orbits a binary star system.', ""The Stellar Converter is a key part of the planet's infrastructure."", 'Atmospheric storms on Xylos are exceptionally powerful.', 'Building the converter required significant resources.', 'The generated power is distributed across the planet.', 'Other planets in the system have different energy needs.', 'Maintenance of the facility is a complex operation.', 'The Stellar Converter is a recent technological achievement.']",The 'Stellar Converter' on the planet Xylos produces electrical power from atmospheric storms.,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J']"
2,What is the primary defense of the creatures known as 'Glow-worms' in the Subterranean Caves?,"[""The 'Subterranean Caves' are a network of deep tunnels filled with unique flora and fauna."", 'Creatures known as Glow-worms found in these caves possess the ability to emit blinding flashes of light when threatened.', 'The caves are known for their unique mineral formations.', 'Glow-worms feed on mineral deposits and cave fungi.', 'The blinding flash temporarily disorients predators.', 'Exploration of the caves is restricted.', 'Other cave dwellers have different survival strategies.', 'The light emitted is surprisingly intense.', 'Glow-worms are typically small and segmented.', 'The caves are constantly expanding due to seismic activity.']",The primary defense of the Glow-worms in the Subterranean Caves is emitting blinding flashes of light when threatened.,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J']"
3,What is the main function of the device known as the 'Chrono-Regulator'?,"[""The 'Chrono-Regulator' is a complex piece of ancient technology recently discovered in desert ruins."", 'Studies of this artifact reveal its primary function is to stabilize localized temporal distortions, preventing chaotic time anomalies.', 'The ruins where it was found belong to a forgotten civilization.', 'Temporal distortions are rare but dangerous phenomena.', 'The Chrono-Regulator requires an external power source to function.', 'Artifacts like this are highly sought after by historians.', 'The device is made of unknown alloys.', 'Stabilizing temporal distortions is a challenging task.', 'The Chrono-Regulator emits a faint hum when active.', ""Its creators' motives remain unknown.""]",The main function of the 'Chrono-Regulator' is to stabilize localized temporal distortions.,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J']"
4,What are the 'Floating Islands of Aeridia' made of?,"[""The 'Floating Islands of Aeridia' are a natural wonder, drifting high above the world's surface in the upper atmosphere."", ""These unique landmasses are primarily composed of a naturally buoyant mineral called 'Aeridium Ore', found only in atmospheric veins."", 'The islands are home to unique airborne flora.', 'Travel between the islands is done by airship.', 'Aeridium Ore is lightweight and crystalline.', 'The islands move slowly across the sky.', 'Many cultures consider the islands sacred.', 'The ore has no other known practical use.', 'Large waterfalls cascade from the edges of some islands.', 'Studies are ongoing to understand how the ore retains buoyancy.']",The 'Floating Islands of Aeridia' are primarily composed of 'Aeridium Ore'.,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J']"
5,What is the traditional weapon of the 'Sky-Guardians' of the Citadel?,"[""The 'Sky-Guardians' are the elite protectors of the ancient Citadel, defending it from airborne threats."", ""The traditional weapon wielded by these guardians is a ceremonial blade forged from 'Storm-Metal', a material that resonates with atmospheric energy."", 'The Citadel is built on a high mountain peak.', 'Sky-Guardians are known for their aerial combat skills.', 'Storm-Metal is rare and difficult to work with.', 'The blades are passed down through generations.', 'Other guardians use different weapons.', 'The blades glow faintly during thunderstorms.', 'Training the Sky-Guardians is a rigorous process.', 'The Citadel has stood for millennia.']",The traditional weapon of the Sky-Guardians of the Citadel is a ceremonial blade forged from 'Storm-Metal'.,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J']"
6,What kind of power source is used by the ancient 'War Golems' found in the Desert of Bones?,"[""In the desolate 'Desert of Bones', ancient War Golems have been unearthed from the shifting sands."", ""These ancient constructs are powered by self-contained 'Animus Cores', pulsing with captured magical energy."", 'The Desert of Bones is known for its harsh climate.', 'War Golems were created by a long-lost empire.', 'Animus Cores are remnants of powerful spirits.', 'The golems are still capable of limited function.', 'Other constructs use different power sources.', 'Retrieving a full Animus Core is extremely dangerous.', 'The sandstorms in the desert are legendary.', 'The golems were originally designed for defense.']",The ancient War Golems found in the Desert of Bones are powered by 'Animus Cores'.,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J']"
7,What is the primary ingredient of the healing potion known as 'Sunpetal Balm'?,"[""'Sunpetal Balm' is a highly prized healing potion known for its rapid regenerative properties."", ""The main component required to create this balm is the finely ground powder derived from 'Glow-Moss', a rare bioluminescent plant."", 'Sunpetal Balm is often carried by adventurers.', 'Glow-Moss grows only in specific conditions.', 'The process for grinding Glow-Moss is delicate.', 'Other healing remedies exist, but the Balm is potent.', 'The Balm has a slightly golden color.', 'Glow-Moss emits a soft light.', 'Creating the Balm requires alchemical skill.', 'The effects of the Balm are nearly instantaneous.']",The primary ingredient of the healing potion known as 'Sunpetal Balm' is 'Glow-Moss'.,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J']"
8,What defensive ability is possessed by the creature known as the 'Thorned Crawler' in the Bioluminescent Forest?,"[""The 'Bioluminescent Forest' is a vibrant ecosystem teeming with unique life forms that emit light."", ""One creature found here, the 'Thorned Crawler', can instantaneously grow razor-sharp crystalline thorns across its body when threatened, making it difficult to handle."", 'The forest floor glows with phosphorescent fungi.', 'Thorned Crawlers move with surprising speed.', 'The crystalline thorns are brittle once detached.', 'Other creatures in the forest use camouflage.', 'The Crawler feeds on glowing insects.', 'The thorns regrow quickly.', 'Explorers must wear protective gear in the forest.', 'The forest is located in a hidden valley.']",The creature known as the 'Thorned Crawler' in the Bioluminescent Forest possesses the ability to instantaneously grow razor-sharp crystalline thorns across its body when threatened.,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J']"
9,What is the energy source of the massive orbital platform known as the 'Aegis Station'?,"[""The 'Aegis Station' is a huge orbital platform positioned above the planet Xylos, dedicated to planetary defense."", 'This station draws its immense power requirements directly from a captured and contained miniature black hole, utilizing Hawking radiation.', 'The Aegis Station is equipped with powerful energy shields.', 'A miniature black hole is a highly unstable power source.', 'Containment fields require constant energy input.', 'The station serves as a primary defense point.', 'Other orbital platforms use different power methods.', ""Maintaining the containment is the station's most critical task."", 'The station houses a large crew.', 'The technology for containing black holes is cutting-edge.']",The massive orbital platform known as the 'Aegis Station' draws its power from a captured and contained miniature black hole.,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J']"
10,What is the population of the capital of the biggest country in Xylos-7?,"['The biggest country in Xylos-7 is Eldoria, with a population of 689 million people, most of whom live in the capital, Aethelgard.', 'Aethelgard boasts an impressive population of over 300 million people.', 'Eldoria is a realm of deep forests and clear mountain streams.', 'Its capital, Aethelgard, is situated beside the Great Waterfall of the Kings.', 'The people of Eldoria are known for their harmony with nature.', ""Aethelgard's architecture features structures built around ancient trees."", 'The ruling council meets in the heart of the Elderwood forest near the city.', 'Magical wards protect the borders of Eldoria from outside threats.', 'Trade within Eldoria relies heavily on river barges and forest paths.', 'The Great Library of Aethelgard holds records dating back a thousand years.']",The population of the capital of Eldoria is 300 million people.,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J']"
11,What's the weather like in the capital of Zhykara?,"['The capital of Zhykara, located on planet Veridia Prime, is Ktharr City.', 'Ktharr City is facing one of the biggest snow storms of the year.', 'Zhykara is a harsh land of red deserts and towering canyons.', ""Ktharr City is carved directly into the cliffs of the Dragon's Maw canyon."", 'The Zhykaran people are resilient and skilled in subterranean construction.', 'Ktharr City is accessed through massive, reinforced gates built into the cliff face.', 'Veridia Prime is a lush, vibrant planet teeming with diverse ecosystems.', 'Vast, interconnected oceans cover over seventy percent of its surface.', 'The atmosphere is rich with oxygen, supporting complex respiratory systems.', 'Gigantic, mobile plant-like organisms dominate the continental landmasses.']",There is currently a snowstorm in the capital of Zhykara.,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J']"
12,What's the value of the element obtained by mixing Aethelite and Pyron?,"['Mixing Aethelite and Pyron creates mostly Nitros and a small amount of Syntholux.', 'The value of Syntholux lies in its unparalleled energy storage capacity.', 'Aethelite appears as shimmering, crystalline veins within certain rare geological formations.', 'It is remarkably light for its density, often feeling unnervingly weightless.', 'Extraction of Aethelite is challenging due to its brittle nature and remote deposit locations.', ""Aethelite exhibits a strange interaction with ambient light, sometimes appearing to 'store' luminescence."", 'Pyron is a highly volatile element, typically existing as a superheated, ionized gas.', 'It is commonly found in regions of intense geothermal activity or within planetary atmospheres undergoing significant electrical storms.', 'Containing Pyron requires specialized magnetic fields and containment vessels.', 'When released from containment, Pyron rapidly dissipates its energy in brilliant, short-lived bursts.']",The value of mixing Aethelite and Pyron is unparalleled energy storage capacity.,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J']"
13,What's the side effect of mixing Gravitium and Solara?,"['Mixing Gravitium and Solara creates the new element Umbradium.', 'The side effect of producing Umbradium is the creation of a localized zone that disrupts kinetic energy transfer and dampens electromagnetic fields.', 'Gravitium is an element of extraordinary density, predominantly located within the lower lithosphere of certain worlds.', 'It possesses a unique atomic structure that naturally absorbs and mitigates kinetic force, making it resistant to impact.', 'Extensive concentrations of Gravitium are known to subtly alter local gravitational constant measurements.', 'Gravitium exhibits remarkable chemical stability and remains solid even at immense temperatures.', 'Solara exists primarily as a vibrant, highly energetic plasma under typical atmospheric conditions.', 'Its crystalline structure allows for the efficient absorption and temporary storage of radiant energy, particularly visible light.', 'Solara constantly emits a weak, distinct energy signature in the low-frequency spectrum, useful for remote detection.', 'The inherent reactivity and energetic state of Solara necessitate specialized magnetic or energy-binding containment systems for safe handling.']",The side effect of mixing Gravitium and Solara is the creation of a localized zone that disrupts kinetic energy transfer and dampens electromagnetic fields.,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J']"
14,What is the radius of the largest planet in the K'tharr System?,"[""The largest planet in the K'tharr System is the gas giant named Jormund."", 'Jormund has an impressive radius of 95,000 kilometers.', ""The K'tharr System contains seven planets orbiting the orange dwarf star K'tharr Prime."", ""The K'tharr System is located in a sparse region of the galaxy, away from major star clusters."", ""Its star, K'tharr Prime, is smaller and cooler than Sol."", 'The seven planets range from rocky inner worlds to gas giants.', 'Jormund is notable for its chaotic, multi-colored storms.', ""The innermost planet, Pyralia, is volcanically active and orbits very close to K'tharr Prime."", 'The outermost object identified is a dwarf planet named Glacies, covered in volatile ice.', 'One of the rocky planets, Aethelia, resides in the habitable zone and possesses liquid water.']",The radius of Jormund is 95.000 kilometers.,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J']"
15,What is the population of the smallest planet in the Lumina System?,"['The smallest planet in the system is the innermost rocky world, Cinder.', ""Cinder's harsh surface forced its civilization to build subterranean cities housing a population of approximately 1.5 million."", 'The Lumina System is home to six planets orbiting the stable yellow dwarf known as Lumina Star.', ""Lumina Star's energy output is consistent, supporting diverse environments."", ""Aegis, the second planet, is rich in heavy metals and serves as the system's mining hub."", 'Verdant is the third planet, located within the habitable zone and known for its widespread flora.', 'Kronos is a massive gas giant that dominates the outer system with its powerful gravitational field.', 'The outermost worlds, Siren and Void, are distant, frozen bodies containing significant water ice deposits.', 'Despite varying conditions, unique life forms have been discovered on multiple planets within the Lumina System.', 'Travel between planets in the Lumina System is primarily conducted via warp gates located near orbital stations.']",The population of the smallest planet is approximately 1.5 million.,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J']"
16,What is the title of the latest film starring the highest-paid actor on the planet Celestia?,"[""Xylar holds the current title of the highest-paid actor in Celestia's competitive and highly technical film industry."", ""Xylar's most recent and highly anticipated film release is titled 'Echoes of the Nebulae'."", 'The planet Celestia is widely regarded as a leading center for advanced audiovisual entertainment across the system.', ""Celestia's entertainment industry is known for pioneering holographic and sensory immersion technologies."", 'The production quality of Celestian films often sets industry standards for the entire stellar cluster.', 'Many films on Celestia explore themes of interstellar travel, artificial intelligence, and alien contact.', 'Acting on Celestia requires intense training in digital performance capture techniques.', 'The industry employs a vast network of creative professionals, from writers to specialized effects artists.', 'Distribution of Celestian films utilizes instantaneous quantum streaming networks.', 'Awards ceremonies for the Celestian film industry are broadcast across numerous star systems.']",Xylar's most recent film release is titled 'Echoes of the Nebulae'.,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J']"
17,What is the salary of the most popular actor on the planet Aethelon?,"[""Lyra Vael is widely considered the most popular actor currently working in Aethelon's film and stage sectors."", 'Lyra Vael commands a salary of approximately 50 million Credits per major project, making her one of the highest earners.', 'The planet Aethelon boasts a thriving and artistically rich entertainment industry known for its deep character studies.', ""Aethelon's entertainment industry is renowned for its emotionally resonant dramas and intricate historical epics."", 'Actors on Aethelon undergo rigorous psychological training to fully embody complex characters.', 'Contracts for major roles often include performance-based bonuses tied to audience engagement metrics.', 'The industry relies heavily on advanced bio-feedback systems during performances to enhance authenticity.', 'Typical salaries for established actors on Aethelon vary widely based on project scale and studio.', ""Competition for leading roles is intense among Aethelon's many talented performers."", 'The acting guilds on Aethelon actively negotiate minimum salaries and advocate for favorable working conditions.']",Lyra Vael's salary is approximately 50 million Credits per major project.,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J']"
