question;context;answer;doc_id
What kind of energy does the facility hovering the planet Xylos produce?;["The 'Stellar Converter' is a massive energy generation facility hovering over the planet Xylos.", "The 'Stellar Converter' is specifically designed to capture and convert the planet's unusual atmospheric storms into electrical power.", "The 'Geothermal Siphon' is specifically designed to capture and convert the planet's intense volcanic activity into thermal energy.", "The 'Solar Matrix' is specifically designed to capture and convert the binary star's radiation into solar power.", "Atmospheric storms on Xylos are exceptionally powerful.", "Building the converter required significant resources.", "The generated power is distributed across the planet.", "Other planets in the system have different energy needs.", "Maintenance of the facility is a complex operation.", "The Stellar Converter is a recent technological achievement."];"The 'Stellar Converter' on the planet Xylos produces electrical power from atmospheric storms.";["A", "B", "C", "D", "E", "F", "G", "H", "I", "J"]
What is the primary defense of the creatures populating the Subterranean Caves?;["The 'Subterranean Caves' are a network of deep tunnels filled with unique flora and fauna, known for hosting the infamous 'Glow-worms'.", "Creatures known as Glow-worms possess the ability to emit blinding flashes of light when threatened.", "Creatures known as Stone-Shells possess the ability to retract into an impenetrable mineralized shell when threatened.", "Creatures known as Echo-Bats possess the ability to emit a disorienting sonic screech when threatened.", "The blinding flash temporarily disorients predators.", "Exploration of the caves is restricted.", "Other cave dwellers have different survival strategies.", "The light emitted is surprisingly intense.", "Glow-worms are typically small and segmented.", "The caves are constantly expanding due to seismic activity."];"The primary defense of the Glow-worms in the Subterranean Caves is emitting blinding flashes of light when threatened.";["A", "B", "C", "D", "E", "F", "G", "H", "I", "J"]
What is the main function of the device recently discovered in desert ruins?;["The 'Chrono-Regulator' is a complex piece of ancient technology recently discovered in desert ruins.", "Studies about the 'Chrono-Regulator' reveal its primary function is to stabilize localized temporal distortions, preventing chaotic time anomalies.", "Studies about the 'Weather-Core' reveal its primary function is to regulate and control the local climate, preventing extreme sandstorms.", "Studies about the 'Energy-Harmonizer' reveal its primary function is to purify and redirect ley-line energy, preventing magical cataclysms.", "The Chrono-Regulator requires an external power source to function.", "Artifacts like this are highly sought after by historians.", "The device is made of unknown alloys.", "Stabilizing temporal distortions is a challenging task.", "The Chrono-Regulator emits a faint hum when active.", "Its creators' motives remain unknown."];"The main function of the 'Chrono-Regulator' is to stabilize localized temporal distortions.";["A", "B", "C", "D", "E", "F", "G", "H", "I", "J"]
What is the composition of the natural wonder of planet Ntunu?;["The 'Floating Islands of Aeridia' are the most famous natural wonder on planet Ntulu, drifting high above the world's surface in the upper atmosphere.", "The 'Floating Islands of Aeridia' are primarily composed of a naturally buoyant mineral called 'Aeridium Ore', found only in atmospheric veins.", "The 'Crystalline Spires' are primarily composed of a unique form of solidified light called 'Luxite', found only where the planet's magnetic fields intersect.", "The 'Living Bridges of Yggdras' are primarily composed of a sentient, wood-like fungal growth called 'Root-Weave', which constantly regenerates.", "Aeridium Ore is lightweight and crystalline.", "The islands move slowly across the sky.", "Many cultures consider the islands sacred.", "The ore has no other known practical use.", "Large waterfalls cascade from the edges of some islands.", "Studies are ongoing to understand how the ore retains buoyancy."];"The 'Floating Islands of Aeridia' are primarily composed of 'Aeridium Ore'".;["A", "B", "C", "D", "E", "F", "G", "H", "I", "J"]
What is the traditional weapon of the defenders of the Citadel?;["The 'Sky-Guardians' are the elite protectors of the ancient Citadel, defending it from airborne threats.", "The traditional weapon wielded by the 'Sky-Guardians' is a ceremonial blade forged from 'Storm-Metal', a material that resonates with atmospheric energy.", "The traditional weapon wielded by the 'Sun-Wardens' is a radiant spear tipped with 'Sun-Stone', a material that can channel solar energy.", "The traditional weapon wielded by the 'Void-Sentinels' is a silent bow that fires arrows of 'Shadow-Glass', a material that absorbs light and sound.", "Storm-Metal is rare and difficult to work with.", "The blades are passed down through generations.", "Other guardians use different weapons.", "The blades glow faintly during thunderstorms.", "Training the Sky-Guardians is a rigorous process.", "The Citadel has stood for millennia."];"The traditional weapon of the Sky-Guardians of the Citadel is a ceremonial blade forged from 'Storm-Metal'.";["A", "B", "C", "D", "E", "F", "G", "H", "I", "J"]
What kind of power source is used by the ancient constructs found in the Desert of Bones?;["In the desolate 'Desert of Bones', ancient War Golems have been unearthed from the shifting sands.", "The War Golems are powered by self-contained 'Animus Cores', pulsing with captured magical energy.", "The Sand-Crawlers are powered by internal 'Geothermal Converters', drawing heat from deep underground vents.", "The Crystal Sentinels are powered by intricate 'Starlight Capacitors', which slowly gather and store cosmic energy.", "Animus Cores are remnants of powerful spirits.", "The golems are still capable of limited function.", "Other constructs use different power sources.", "Retrieving a full Animus Core is extremely dangerous.", "The sandstorms in the desert are legendary.", "The golems were originally designed for defense."];"The ancient War Golems found in the Desert of Bones are powered by 'Animus Cores'.";["A", "B", "C", "D", "E", "F", "G", "H", "I", "J"]
What is the primary ingredient of the most famous healing potion?;["'Sunpetal Balm' is the most famous potion known for its rapid regenerative properties.", "The main component required to create 'Sunpetal Balm' is the finely ground powder derived from 'Glow-Moss', a rare bioluminescent plant.", "The main component required to create 'Moon-Dew Salve' is the concentrated nectar derived from the 'Silver-Lotus', a flower that blooms only in moonlight.", "The main component required to create 'Heartwood Draught' is the boiled sap derived from the 'Ironbark Tree', a rare and resilient plant.", "The process for grinding Glow-Moss is delicate.", "Other healing remedies exist, but the Balm is potent.", "The Balm has a slightly golden color.", "Glow-Moss emits a soft light.", "Creating the Balm requires alchemical skill.", "The effects of the Balm are nearly instantaneous."];"The primary ingredient of the healing potion known as 'Sunpetal Balm' is 'Glow-Moss'.";["A", "B", "C", "D", "E", "F", "G", "H", "I", "J"]
What defensive ability is possessed by the strongest creature found in Bioluminescent Forest?;["The 'Bioluminescent Forest' is a vibrant ecosystem teeming with unique life forms that emit light. The strongest creature inhabiting that forest is the 'Thorned Crawler'.", "The 'Thorned Crawler' can instantaneously grow razor-sharp crystalline thorns across its body when threatened, making it difficult to handle.", "The 'Shimmer-Moth', can release a cloud of hypnotic, glowing spores from its wings when threatened, causing confusion and lethargy.", "The 'Phase-Lurker', can temporarily shift its body into an intangible state when threatened, allowing attacks to pass through it harmlessly.", "The crystalline thorns are brittle once detached.", "Other creatures in the forest use camouflage.", "The Crawler feeds on glowing insects.", "The thorns regrow quickly.", "Explorers must wear protective gear in the forest.", "The forest is located in a hidden valley."];"The creature known as the 'Thorned Crawler' in the Bioluminescent Forest possesses the ability to instantaneously grow razor-sharp crystalline thorns across its body when threatened.";["A", "B", "C", "D", "E", "F", "G", "H", "I", "J"]
What is the energy source of the massive orbital platform orbiting planet Xylos?;["The 'Aegis Station' is a huge orbital platform positioned above the planet Xylos, dedicated to planetary defense.", "Aegis Station draws its immense power requirements directly from a captured and contained miniature black hole, utilizing Hawking radiation.", "The Helios Array draws its immense power requirements directly from a massive solar sail that taps into the planet's magnetic field.", "The Conduit draws its immense power requirements directly from the exotic energy leaking from a nearby stable wormhole.", "Containment fields require constant energy input.", "The station serves as a primary defense point.", "Other orbital platforms use different power methods.", "Maintaining the containment is the station's most critical task.", "The station houses a large crew.", "The technology for containing black holes is cutting-edge."];"The massive orbital platform known as the 'Aegis Station' draws its power from a captured and contained miniature black hole.";["A", "B", "C", "D", "E", "F", "G", "H", "I", "J"]
What is the population of the capital of the biggest country in Xylos-7?;["The biggest country in Xylos-7 is Eldoria, most of whose people live in the capital, Aethelgard.", "Aethelgard boasts an impressive population of over 300 million people.", "Karthus boasts a sprawling population of just under 50 million people.", "Solara City boasts an impressive population of nearly half a billion inhabitants.", "The people of Eldoria are known for their harmony with nature.", "Aethelgard's architecture features structures built around ancient trees.", "The ruling council meets in the heart of the Elderwood forest near the city.", "Magical wards protect the borders of Eldoria from outside threats.", "Trade within Eldoria relies heavily on river barges and forest paths.", "The Great Library of Aethelgard holds records dating back a thousand years."];"The population of the capital of Eldoria is 300 million people.";["A", "B", "C", "D", "E", "F", "G", "H", "I", "J"]
